Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-21 23:55:27,"hisat2-build -p 16 --ss 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_splice_sites.txt --exon 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_exons.txt 0_INPUT_FASTAs/All_Smel_Genes.fasta 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided",0.2,218,97984,0.31,0.13,.05,4.47,0
2025-11-22 03:17:09,"hisat2-build -p 16 0_INPUT_FASTAs/All_Smel_Genes.fasta 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/All_Smel_Genes_index",0.2,227,97932,0.32,0.13,.05,4.46,0
