Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-14 01:07:43,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR20722234/SRR20722234_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722234/SRR20722234_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped.sam",0,0,0,0,0,10478.93,3248.75,1
2025-11-14 01:11:56,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR20722234/SRR20722234_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722234/SRR20722234_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722234/SRR20722234_All_Smel_Genes_ref_guided_mapped.sam",736.5,3185,33952,20594.58,2867.66,10478.93,32381.10,0
2025-11-14 01:26:54,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR21010466/SRR21010466_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR21010466/SRR21010466_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR21010466/SRR21010466_All_Smel_Genes_ref_guided_mapped.sam",238.58,3185,37948,6606.69,992.29,2922.55,15024.66,0
2025-11-14 01:31:40,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/index/All_Smel_Genes_ref_guided -1 2_TRIMMED_SRR/SRR20722233/SRR20722233_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722233/SRR20722233_2_val_2.fq.gz -S 4_POST_PROCESSING/4a_Method_1_HISAT2_Ref_Guided/4_HISAT2_WD/All_Smel_Genes/SRR20722233/SRR20722233_All_Smel_Genes_ref_guided_mapped.sam",567.09,3184,31868,15852.82,2207.92,9167.14,24577.63,0
2025-12-07 17:08:21,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884686/SRR3884686_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884686/SRR3884686_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884686/SRR3884686_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",190.42,3158,2401380,5263.92,749.75,2789.90,11736.96,0
2025-12-07 17:12:46,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884687/SRR3884687_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884687/SRR3884687_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884687/SRR3884687_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",120.17,3141,2123776,3303.85,471.44,1830.79,7756.28,0
2025-12-07 17:15:37,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884597/SRR3884597_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884597/SRR3884597_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884597/SRR3884597_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",185.88,3158,2045700,5126.95,745.02,2910.19,11407.89,0
2025-12-07 17:39:14,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884685/SRR3884685_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884685/SRR3884685_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884685/SRR3884685_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",197.63,3160,1559472,5459.37,786.73,2934.38,17144.75,0
2025-12-07 17:44:20,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884677/SRR3884677_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884677/SRR3884677_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884677/SRR3884677_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",204.89,3153,2173872,5657.68,804.42,3080.80,13271.98,0
2025-12-07 17:49:07,"hisat2 -p 32 --dta -x 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/index/Eggplant_V4.1_transcripts.function_index -1 2_TRIMMED_SRR/SRR3884675/SRR3884675_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884675/SRR3884675_2_val_2.fq.gz -S 4_POST_PROCESSING/4b_Method_2_HISAT2_De_Novo/4_HISAT2_WD/Eggplant_V4.1_transcripts.function/SRR3884675/SRR3884675_Eggplant_V4.1_transcripts.function_trimmed_mapped.sam",230.14,3155,2427848,6345.81,915.72,3463.64,13674.64,0
